timestamp,action,price,indicators,result
2025-01-22 14:59:54,analysis,1.04431,{'rsi': np.float64(62.68), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.0443), 'ema_long': np.float64(1.04431), 'bb_upper': np.float64(1.04431), 'bb_lower': np.float64(1.04429), 'bb_sma': np.float64(1.0443)},None
2025-01-22 14:59:55,analysis,1.04431,{'rsi': np.float64(62.9), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.0443), 'ema_long': np.float64(1.04431), 'bb_upper': np.float64(1.04431), 'bb_lower': np.float64(1.04429), 'bb_sma': np.float64(1.0443)},None
2025-01-22 14:59:56,analysis,1.04431,{'rsi': np.float64(62.77), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.0443), 'ema_long': np.float64(1.04431), 'bb_upper': np.float64(1.04431), 'bb_lower': np.float64(1.04429), 'bb_sma': np.float64(1.0443)},None
2025-01-22 14:59:57,analysis,1.04431,{'rsi': np.float64(50.68), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.0443), 'ema_long': np.float64(1.04432), 'bb_upper': np.float64(1.04431), 'bb_lower': np.float64(1.04429), 'bb_sma': np.float64(1.0443)},None
2025-01-22 14:59:59,analysis,1.04431,{'rsi': np.float64(32.88), 'ema_short': np.float64(1.04431), 'ema_medium': np.float64(1.0443), 'ema_long': np.float64(1.04432), 'bb_upper': np.float64(1.04431), 'bb_lower': np.float64(1.04429), 'bb_sma': np.float64(1.0443)},None
2025-01-22 15:00:00,analysis,1.04431,{'rsi': np.float64(32.88), 'ema_short': np.float64(1.04431), 'ema_medium': np.float64(1.0443), 'ema_long': np.float64(1.04432), 'bb_upper': np.float64(1.04431), 'bb_lower': np.float64(1.04429), 'bb_sma': np.float64(1.0443)},None
2025-01-22 15:00:01,analysis,1.044275,{'rsi': np.float64(32.76), 'ema_short': np.float64(1.04431), 'ema_medium': np.float64(1.0443), 'ema_long': np.float64(1.04432), 'bb_upper': np.float64(1.04432), 'bb_lower': np.float64(1.04428), 'bb_sma': np.float64(1.0443)},None
2025-01-22 15:00:02,analysis,1.044275,{'rsi': np.float64(35.82), 'ema_short': np.float64(1.04431), 'ema_medium': np.float64(1.0443), 'ema_long': np.float64(1.04431), 'bb_upper': np.float64(1.04432), 'bb_lower': np.float64(1.04428), 'bb_sma': np.float64(1.0443)},None
2025-01-22 15:00:04,analysis,1.044275,{'rsi': np.float64(32.32), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.0443), 'ema_long': np.float64(1.04431), 'bb_upper': np.float64(1.04432), 'bb_lower': np.float64(1.04428), 'bb_sma': np.float64(1.0443)},None
2025-01-22 15:00:05,analysis,1.044105,{'rsi': np.float64(16.12), 'ema_short': np.float64(1.04429), 'ema_medium': np.float64(1.04429), 'ema_long': np.float64(1.04431), 'bb_upper': np.float64(1.04438), 'bb_lower': np.float64(1.0442), 'bb_sma': np.float64(1.04429)},None
