timestamp,action,price,indicators,result
2025-01-22 16:09:29,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:30,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:33,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:34,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:36,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:37,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:39,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:41,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:42,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:44,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:45,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:47,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:49,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:50,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:52,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:54,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:55,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:57,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:58,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
